value,tab,tab_label,cat01,cat01_label,time,time_label
2484,831,事業所数（事業内容等不詳を含む）,04207,名取市,2012000000,2012年
1266,831,事業所数（事業内容等不詳を含む）,04208,角田市,2012000000,2012年
2034,831,事業所数（事業内容等不詳を含む）,04209,多賀城市,2012000000,2012年
1752,831,事業所数（事業内容等不詳を含む）,04211,岩沼市,2012000000,2012年
4248,831,事業所数（事業内容等不詳を含む）,04212,登米市,2012000000,2012年
3284,831,事業所数（事業内容等不詳を含む）,04213,栗原市,2012000000,2012年
1082,831,事業所数（事業内容等不詳を含む）,04214,東松島市,2012000000,2012年
5919,831,事業所数（事業内容等不詳を含む）,04215,大崎市,2012000000,2012年
707,831,事業所数（事業内容等不詳を含む）,04300,刈田郡,2012000000,2012年
618,831,事業所数（事業内容等不詳を含む）,04301,蔵王町,2012000000,2012年
89,831,事業所数（事業内容等不詳を含む）,04302,七ヶ宿町,2012000000,2012年
3450,831,事業所数（事業内容等不詳を含む）,04320,柴田郡,2012000000,2012年
1242,831,事業所数（事業内容等不詳を含む）,04321,大河原町,2012000000,2012年
517,831,事業所数（事業内容等不詳を含む）,04322,村田町,2012000000,2012年
1235,831,事業所数（事業内容等不詳を含む）,04323,柴田町,2012000000,2012年
456,831,事業所数（事業内容等不詳を含む）,04324,川崎町,2012000000,2012年
512,831,事業所数（事業内容等不詳を含む）,04340,伊具郡,2012000000,2012年
512,831,事業所数（事業内容等不詳を含む）,04341,丸森町,2012000000,2012年
1320,831,事業所数（事業内容等不詳を含む）,04360,亘理郡,2012000000,2012年
927,831,事業所数（事業内容等不詳を含む）,04361,亘理町,2012000000,2012年
393,831,事業所数（事業内容等不詳を含む）,04362,山元町,2012000000,2012年
2014,831,事業所数（事業内容等不詳を含む）,04400,宮城郡,2012000000,2012年
589,831,事業所数（事業内容等不詳を含む）,04401,松島町,2012000000,2012年
462,831,事業所数（事業内容等不詳を含む）,04404,七ヶ浜町,2012000000,2012年
963,831,事業所数（事業内容等不詳を含む）,04406,利府町,2012000000,2012年
2974,831,事業所数（事業内容等不詳を含む）,04420,黒川郡,2012000000,2012年
1120,831,事業所数（事業内容等不詳を含む）,04421,大和町,2012000000,2012年
360,831,事業所数（事業内容等不詳を含む）,04422,大郷町,2012000000,2012年
1200,831,事業所数（事業内容等不詳を含む）,04423,富谷町,2012000000,2012年
294,831,事業所数（事業内容等不詳を含む）,04424,大衡村,2012000000,2012年
1390,831,事業所数（事業内容等不詳を含む）,04440,加美郡,2012000000,2012年
224,831,事業所数（事業内容等不詳を含む）,04444,色麻町,2012000000,2012年
1166,831,事業所数（事業内容等不詳を含む）,04445,加美町,2012000000,2012年
1556,831,事業所数（事業内容等不詳を含む）,04500,遠田郡,2012000000,2012年
641,831,事業所数（事業内容等不詳を含む）,04501,涌谷町,2012000000,2012年
915,831,事業所数（事業内容等不詳を含む）,04505,美里町,2012000000,2012年
191,831,事業所数（事業内容等不詳を含む）,04580,牡鹿郡,2012000000,2012年
191,831,事業所数（事業内容等不詳を含む）,04581,女川町,2012000000,2012年
268,831,事業所数（事業内容等不詳を含む）,04600,本吉郡,2012000000,2012年
