value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
581145,100,売上（収入）金額,160,1億円超～5億円,150,卸売業,2015100000,2015年度,百万円
2303035,100,売上（収入）金額,160,1億円超～5億円,160,小売業,2016100000,2016年度,百万円
2055161,100,売上（収入）金額,160,1億円超～5億円,160,小売業,2015100000,2015年度,百万円
2514759,100,売上（収入）金額,160,1億円超～5億円,160,小売業,2014100000,2014年度,百万円
154562,100,売上（収入）金額,160,1億円超～5億円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
67306,100,売上（収入）金額,160,1億円超～5億円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
166503,100,売上（収入）金額,160,1億円超～5億円,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
292165,100,売上（収入）金額,160,1億円超～5億円,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
691609,100,売上（収入）金額,160,1億円超～5億円,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
502347,100,売上（収入）金額,160,1億円超～5億円,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
195836,100,売上（収入）金額,160,1億円超～5億円,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
－,100,売上（収入）金額,160,1億円超～5億円,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
131205,100,売上（収入）金額,160,1億円超～5億円,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
100210,100,売上（収入）金額,160,1億円超～5億円,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
15091,100,売上（収入）金額,160,1億円超～5億円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
17123,100,売上（収入）金額,160,1億円超～5億円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
79625,100,売上（収入）金額,160,1億円超～5億円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
174497,100,売上（収入）金額,200,5億円超,100,合計,2014100000,2014年度,百万円
10652,100,売上（収入）金額,200,5億円超,140,運輸業，郵便業,2014100000,2014年度,百万円
427993,100,売上（収入）金額,170,5億円超～10億円,100,合計,2016100000,2016年度,百万円
666857,100,売上（収入）金額,170,5億円超～10億円,100,合計,2015100000,2015年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,110,建設業,2016100000,2016年度,百万円
－,100,売上（収入）金額,170,5億円超～10億円,110,建設業,2015100000,2015年度,百万円
4779,100,売上（収入）金額,170,5億円超～10億円,110,建設業,2014100000,2014年度,百万円
x,100,売上（収入）金額,170,5億円超～10億円,120,製造業,2016100000,2016年度,百万円
8170,100,売上（収入）金額,170,5億円超～10億円,120,製造業,2015100000,2015年度,百万円
